DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 1100 	 0 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT : 	 1000 	 0 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 1100 	 0 ms
ADD    :	 IS 	 WAITING
DEDUCT : 	 1000 	 0 ms
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 900 	 0 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 800 	 0 ms
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    : 	 900 	 0 ms
ADD    :	 IS 	 WAITING
DEDUCT : 	 800 	 501 ms
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 900 	 501 ms
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 800 	 501 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    : 	 900 	 501 ms
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 800 	 501 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 900 	 501 ms
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT : 	 800 	 1001 ms
ADD    :	 IS 	 WAITING
DEDUCT : 	 700 	 1001 ms
ADD    : 	 800 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 700 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 600 	 1001 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 700 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 800 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    : 	 900 	 1001 ms
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    : 	 1000 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 1100 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    : 	 1200 	 1001 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 1100 	 1001 ms
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 1200 	 1001 ms
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT : 	 1100 	 1501 ms
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 1000 	 1501 ms
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT : 	 900 	 1501 ms
ADD    : 	 1000 	 1501 ms
DEDUCT : 	 900 	 2002 ms
DEDUCT : 	 800 	 2002 ms
ADD    : 	 900 	 2002 ms
ADD    : 	 1000 	 2002 ms
ADD    : 	 1100 	 2002 ms
DEDUCT : 	 1000 	 2002 ms
ADD    : 	 1100 	 2002 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT : 	 1000 	 2002 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    : 	 1100 	 2002 ms
ADD    : 	 1200 	 2002 ms
DEDUCT : 	 1100 	 2002 ms
DEDUCT : 	 1000 	 2002 ms
ADD    :	 IS 	 WAITING
DEDUCT : 	 900 	 2002 ms
ADD    :	 IS 	 WAITING
DEDUCT : 	 800 	 2002 ms
ADD    :	 IS 	 WAITING
DEDUCT :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
ADD    :	 IS 	 WAITING
